filename,category,people,job_title,media_personality
289.txt,business,David Frost,BCC director general,TV/Film Personality
504.txt,business,Tony Blair,UK Prime Minister,Politician
504.txt,business,Jacques Chirac,French President,Politician
504.txt,business,Thabo Mbeki,South African President,Politician
504.txt,business,Viktor Yushchenko,Ukraine's new president,Politician
262.txt,business,Floiran Woest,Swiss Re's spokesman,Media Personality
060.txt,business,Joshua Bewlay,Former Marsh senior vice president,Politician
464.txt,business,Meg Whitman,President and Chief Executive of eBay,Politician
459.txt,business,Gordon Brown,Chancellor,Politician
303.txt,business,Jose Alencar,Brazil's vice president,Politician
303.txt,business,Luiz Inacio Lula da Silva,President of Brazil,Politician
471.txt,business,Kumaratunga,President of Sri Lanka,Politician
471.txt,business,Mahinda Rajapakse,Prime Minister of Sri Lanka,Politician
049.txt,business,Brad Wernle,Automotive News Europe representative,Media Personality
277.txt,business,Abdullatif Sener,Deputy Prime Minister,Politician
263.txt,business,Rob McIvor,FSA spokesman,Media Personality
261.txt,business,Michael Heseltine,former British government minister,Politician
249.txt,business,George W Bush,President,Politician
249.txt,business,Jonathan Beale,BBC reporter,Media Personality
498.txt,business,Wang Xuebing,ex-president of Bank of China,Politician
301.txt,business,Ronald Reagan,Former President of the United States,Politician
301.txt,business,Farhat Omar Ben Gadaravice,Vice President of the Libyan Central Bank,Politician
329.txt,business,Ian Perry,RICS housing spokesman,Media Personality
314.txt,business,Alexander Shadrin,Yukos spokesman,Media Personality
314.txt,business,Vladimir Putin,President of Russia,Politician
314.txt,business,Sarah Rainsford,BBC correspondent,Media Personality
116.txt,business,Yoshifumi Nishikawa,SMFG President,Politician
102.txt,business,Mathieu Kerekou,President of Benin,Politician
066.txt,business,Wolfgang Clement,Economy and Labour Minister,Politician
066.txt,business,Hans-Werner Sinn,Ifo president,Politician
106.txt,business,Gordon Brown,Chancellor,Politician
310.txt,business,Tiger Woods,Sports Star,TV/Film Personality
305.txt,business,Luiz Inacio Lula da Silva,President of Brazil,Politician
339.txt,business,Praful Patel,Minister for civil aviation,Politician
073.txt,business,Angela Merkel,Chancellor of Germany,Politician
501.txt,business,Julio De Vido,Planning Minister,Politician
501.txt,business,Roberto Lavagna,Economic Minister,Politician
501.txt,business,Nestor Kirchner,President of Argentina,Politician
501.txt,business,Jacques Chirac,President of France,Politician
449.txt,business,Lee Scott,President of Wal-Mart,Politician
064.txt,business,George W Bush,US president,Politician
064.txt,business,Michael Lamberty,Lufthansa spokesman,Media Personality
272.txt,business,Luiz Inacio Lula da Silva,President of Brazil,Politician
272.txt,business,Antonio Palocci,Finance Minister,Politician
266.txt,business,Vladimir Putin,President,Politician
413.txt,business,Hans Eichel,Finance Minister of Germany,Politician
413.txt,business,Herve Gaymard,Finance Minister of France,Politician
413.txt,business,Alexander Radwan,European People's Party spokesman,Media Personality
406.txt,business,Kurt Barnard,President of Retail Consulting Group,Politician
360.txt,business,Patricio Cartagena,Cochilco vice president,Politician
412.txt,business,Mohammad Khatami,President,Politician
189.txt,business,Umberto Agnelli,Former president of Fiat,Politician
200.txt,business,Fidel Castro,Cuban President,Politician
200.txt,business,George W. Bush,President of the United States,Politician
389.txt,business,Mahmoud Mohieldin,Investment Minister,Politician
362.txt,business,Jemma Smith,Apacs spokeswoman,Media Personality
377.txt,business,B. Satyanarayana,Industry Minister of Andhra Pradesh state,Politician
363.txt,business,Fatos Nano,Albanian Prime Minister,Politician
363.txt,business,Pat Ferguson,President of AMBO,Politician
