filename,category,people,job_title,media_personality
289.txt,business,David Frost,BCC director general,TV/Film Personality
504.txt,business,Tony Blair,UK Prime Minister,Politician
504.txt,business,Jacques Chirac,French President,Politician
504.txt,business,Thabo Mbeki,South African President,Politician
504.txt,business,Viktor Yushchenko,Ukraine's new president,Politician
504.txt,business,Mahmoud Abbas,Newly elected Palestinian leader,Other
504.txt,business,Bono,U2 frontman and campaigner on trade and development issues,Other
504.txt,business,Angelina Jolie,Goodwill campaigner for the UN on refugees,Other
262.txt,business,Hans Goetti,Fund manager,Other
262.txt,business,Floiran Woest,Swiss Re's spokesman,Media Personality
276.txt,business,Suhas Naik,Investment Analyst,Other
510.txt,business,Christian Lacroix,French designer,Other
060.txt,business,Eliot Spitzer,New York attorney general,Other
060.txt,business,Joshua Bewlay,Former Marsh senior vice president,Politician
074.txt,business,Atinc Ozkan,Analyst at Finans Investment in Istanbul,Other
114.txt,business,Scott Sullivan,former chief financial officer at WorldCom,Other
114.txt,business,Bernard Ebbers,former boss of WorldCom,Other
114.txt,business,Reid Weingarten,lawyer for Bernard Ebbers,Other
114.txt,business,Bert Roberts,former board member of WorldCom,Other
100.txt,business,Bernie Ebbers,Former WorldCom chief,Other
100.txt,business,Scott Sullivan,Former WorldCom chief financial officer,Other
128.txt,business,Geoff Dixon,Chief Executive of Qantas,Other
128.txt,business,Peter Gregg,Chief Financial Officer of Qantas,Other
470.txt,business,Prince Alwaleed bin Talal,Saudi billionaire investor,Other
316.txt,business,Werner Seifert,Chief Executive of Deutsche Boerse,Other
302.txt,business,Richard Dixey,Chief Executive of Phytopharm,Other
302.txt,business,Erling Refsum,Analyst at Nomura,Other
464.txt,business,Meg Whitman,President and Chief Executive of eBay,Politician
458.txt,business,Calisto Tanzi,Founder and former boss of Parmalat,Other
458.txt,business,Fausto Tonna,Former Parmalat chief financial officer,Other
459.txt,business,Gordon Brown,Chancellor,Politician
459.txt,business,Roger Bootle,Chief Economic Advisor,Other
303.txt,business,Carlos Wilson,Brazil's airport authority chief,Other
303.txt,business,Jose Alencar,Brazil's vice president,Politician
303.txt,business,Luiz Inacio Lula da Silva,President of Brazil,Politician
465.txt,business,Bernie Ebbers,former chief executive of WorldCom,Other
465.txt,business,Dennis Kozlowski,former chief executive of Tyco International,Other
471.txt,business,Kumaratunga,President of Sri Lanka,Politician
471.txt,business,Mahinda Rajapakse,Prime Minister of Sri Lanka,Politician
471.txt,business,Erik Solheim,Norway's peace negotiator,Other
317.txt,business,Annie Walker,Regent Street Association director,Other
317.txt,business,Jon Walton,Senior business manager,Other
115.txt,business,Jean-Pierre Garnier,Chief executive of GlaxoSmithKline,Other
049.txt,business,Norbert Reithofer,Member of the BMW management board,Other
049.txt,business,Brad Wernle,Automotive News Europe representative,Media Personality
075.txt,business,France,Country,Other
075.txt,business,Germany,Country,Other
061.txt,business,Marc Ostwald,Strategist at Monument Securities,Other
277.txt,business,Abdullatif Sener,Deputy Prime Minister,Politician
263.txt,business,Rob McIvor,FSA spokesman,Media Personality
288.txt,business,Jeff Immelt,Chief Executive of General Electric,Other
288.txt,business,Steve Roukis,Analyst at Matrix Asset Advisors,Other
275.txt,business,Christian Jasperneite,Economist,Other
275.txt,business,SPD (Social Democrats),Ruling party in Germany,Other
261.txt,business,Michael Heseltine,former British government minister,Politician
249.txt,business,George W Bush,President,Politician
249.txt,business,Jonathan Beale,BBC reporter,Media Personality
088.txt,business,Robert Benmosche,Chairman and Chief Executive of Metlife,Other
